2023-04-14 23:27:06 install gzip:amd64 <none> 1.12-1ubuntu1
2023-04-14 23:27:06 status half-installed gzip:amd64 1.12-1ubuntu1
2023-04-14 23:27:06 status unpacked gzip:amd64 1.12-1ubuntu1
2023-04-14 23:27:06 install hostname:amd64 <none> 3.23+nmu1ubuntu1
2023-04-14 23:27:06 status half-installed hostname:amd64 3.23+nmu1ubuntu1
2023-04-14 23:27:06 status unpacked hostname:amd64 3.23+nmu1ubuntu1
2023-04-14 23:27:07 install init-system-helpers:all <none> 1.65.2
2023-04-14 23:27:07 status half-installed init-system-helpers:all 1.65.2
2023-04-14 23:27:07 status unpacked init-system-helpers:all 1.65.2
2023-04-14 23:27:07 install libacl1:amd64 <none> 2.3.1-3
2023-04-14 23:27:07 status half-installed libacl1:amd64 2.3.1-3
2023-04-14 23:27:07 status unpacked libacl1:amd64 2.3.1-3
2023-04-14 23:27:07 install libattr1:amd64 <none> 1:2.5.1-4
2023-04-14 23:27:07 status half-installed libattr1:amd64 1:2.5.1-4
2023-04-14 23:27:07 status unpacked libattr1:amd64 1:2.5.1-4
2023-04-14 23:27:07 install libaudit-common:all <none> 1:3.0.9-1
2023-04-14 23:27:07 status half-installed libaudit-common:all 1:3.0.9-1
2023-04-14 23:27:07 status unpacked libaudit-common:all 1:3.0.9-1
2023-04-14 23:27:07 install libaudit1:amd64 <none> 1:3.0.9-1
2023-04-14 23:27:07 status half-installed libaudit1:amd64 1:3.0.9-1
2023-04-14 23:27:07 status unpacked libaudit1:amd64 1:3.0.9-1
2023-04-14 23:27:07 install libblkid1:amd64 <none> 2.38.1-4ubuntu1
2023-04-14 23:27:07 status half-installed libblkid1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:07 status unpacked libblkid1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:07 install libbz2-1.0:amd64 <none> 1.0.8-5build1
2023-04-14 23:27:07 status half-installed libbz2-1.0:amd64 1.0.8-5build1
2023-04-14 23:27:07 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2023-04-14 23:27:07 install libc-bin:amd64 <none> 2.37-0ubuntu2
2023-04-14 23:27:07 status half-installed libc-bin:amd64 2.37-0ubuntu2
2023-04-14 23:27:07 status unpacked libc-bin:amd64 2.37-0ubuntu2
2023-04-14 23:27:07 upgrade libc6:amd64 2.37-0ubuntu2 2.37-0ubuntu2
2023-04-14 23:27:07 status half-configured libc6:amd64 2.37-0ubuntu2
2023-04-14 23:27:07 status unpacked libc6:amd64 2.37-0ubuntu2
